Date,Close
10/1/2018 16:00:00,1.09
10/2/2018 16:00:00,1.15
10/3/2018 16:00:00,1.11
10/4/2018 16:00:00,1.1
10/5/2018 16:00:00,1.09
10/8/2018 16:00:00,1.14
10/9/2018 16:00:00,1.08
10/10/2018 16:00:00,1.03
10/11/2018 16:00:00,1.01
10/12/2018 16:00:00,1.05
10/15/2018 16:00:00,1
10/16/2018 16:00:00,1.03
10/17/2018 16:00:00,1.02
10/18/2018 16:00:00,1
10/19/2018 16:00:00,0.98
10/22/2018 16:00:00,0.95
10/23/2018 16:00:00,0.91
10/24/2018 16:00:00,0.83
10/25/2018 16:00:00,0.86
10/26/2018 16:00:00,0.95
10/29/2018 16:00:00,0.84
10/30/2018 16:00:00,0.75
10/31/2018 16:00:00,0.78
11/1/2018 16:00:00,0.8
11/2/2018 16:00:00,0.84
11/5/2018 16:00:00,0.87
11/6/2018 16:00:00,0.83
11/7/2018 16:00:00,0.75
11/8/2018 16:00:00,0.81
11/9/2018 16:00:00,0.89
11/12/2018 16:00:00,0.82
11/13/2018 16:00:00,0.86
11/14/2018 16:00:00,0.83
11/15/2018 16:00:00,0.85
11/16/2018 16:00:00,0.78
11/19/2018 16:00:00,0.75
11/20/2018 16:00:00,0.75
11/21/2018 16:00:00,0.78
11/23/2018 13:00:00,0.83
11/26/2018 16:00:00,0.78
11/27/2018 16:00:00,0.79
11/28/2018 16:00:00,0.72
11/29/2018 16:00:00,0.73
11/30/2018 16:00:00,0.71
12/3/2018 16:00:00,0.63
12/4/2018 16:00:00,0.55
12/6/2018 16:00:00,0.55
12/7/2018 16:00:00,0.54
12/10/2018 16:00:00,0.51
12/11/2018 16:00:00,0.51
12/12/2018 16:00:00,0.52
12/13/2018 16:00:00,0.51
12/14/2018 16:00:00,0.51
12/17/2018 16:00:00,0.51
12/18/2018 16:00:00,0.43
12/19/2018 16:00:00,0.45
12/20/2018 16:00:00,0.57
12/21/2018 16:00:00,0.6
12/24/2018 13:00:00,0.6
12/26/2018 16:00:00,0.52
12/27/2018 16:00:00,0.52
12/28/2018 16:00:00,0.5
12/31/2018 16:00:00,0.53
1/2/2019 16:00:00,0.65
1/3/2019 16:00:00,0.7
1/4/2019 16:00:00,0.79
1/7/2019 16:00:00,0.78
1/8/2019 16:00:00,0.76
1/9/2019 16:00:00,0.74
1/10/2019 16:00:00,0.71
1/11/2019 16:00:00,0.78
1/14/2019 16:00:00,0.77
1/15/2019 16:00:00,0.82
1/16/2019 16:00:00,0.84
1/17/2019 16:00:00,0.87
1/18/2019 16:00:00,1
1/22/2019 16:00:00,1.01
1/23/2019 16:00:00,0.93
1/24/2019 16:00:00,0.91
1/25/2019 16:00:00,0.91
1/28/2019 16:00:00,0.85
1/29/2019 16:00:00,0.84
1/30/2019 16:00:00,0.87
1/31/2019 16:00:00,0.91
2/1/2019 16:00:00,0.97
2/4/2019 16:00:00,1
2/5/2019 16:00:00,1
2/6/2019 16:00:00,1
2/7/2019 16:00:00,0.94
2/8/2019 16:00:00,0.95
2/11/2019 16:00:00,0.92
2/12/2019 16:00:00,0.93
2/13/2019 16:00:00,1
2/14/2019 16:00:00,1
2/15/2019 16:00:00,0.98
2/19/2019 16:00:00,1
2/20/2019 16:00:00,0.99
2/21/2019 16:00:00,0.95
2/22/2019 16:00:00,0.97
2/25/2019 16:00:00,0.98
2/26/2019 16:00:00,0.98
2/27/2019 16:00:00,0.98
2/28/2019 16:00:00,0.96
3/1/2019 16:00:00,0.94
3/4/2019 16:00:00,0.94
3/5/2019 16:00:00,0.96
3/6/2019 16:00:00,0.92
3/7/2019 16:00:00,0.94
3/8/2019 16:00:00,0.91
3/11/2019 16:00:00,0.92
3/12/2019 16:00:00,0.91
3/13/2019 16:00:00,0.88
3/14/2019 16:00:00,0.89
3/15/2019 16:00:00,0.86
3/18/2019 16:00:00,0.75
3/19/2019 16:00:00,0.77
3/20/2019 16:00:00,0.79
3/21/2019 16:00:00,0.75
3/22/2019 16:00:00,0.77
3/25/2019 16:00:00,0.77
3/26/2019 16:00:00,0.74
3/27/2019 16:00:00,0.69
3/28/2019 16:00:00,0.63
3/29/2019 16:00:00,0.62
4/1/2019 16:00:00,0.66
4/2/2019 16:00:00,0.66
4/3/2019 16:00:00,0.63
4/4/2019 16:00:00,0.67
4/5/2019 16:00:00,0.62
4/8/2019 16:00:00,0.62
4/9/2019 16:00:00,0.62
4/10/2019 16:00:00,0.6
4/11/2019 16:00:00,0.61
4/12/2019 16:00:00,0.66
4/15/2019 16:00:00,0.63
4/16/2019 16:00:00,0.64
4/17/2019 16:00:00,0.51
4/18/2019 16:00:00,0.56
4/22/2019 16:00:00,0.55
4/23/2019 16:00:00,0.63
4/24/2019 16:00:00,0.7
4/25/2019 16:00:00,0.74
4/26/2019 16:00:00,0.87
4/29/2019 16:00:00,0.82
4/30/2019 16:00:00,0.83
5/1/2019 16:00:00,0.88
5/2/2019 16:00:00,0.93
5/3/2019 16:00:00,0.94
5/6/2019 16:00:00,0.88
5/7/2019 16:00:00,0.84
5/8/2019 16:00:00,2.65
5/9/2019 16:00:00,2.05
5/10/2019 16:00:00,1.82
5/13/2019 16:00:00,2.09
5/14/2019 16:00:00,1.95
5/15/2019 16:00:00,1.96
5/16/2019 16:00:00,1.51
5/17/2019 16:00:00,1.48
5/20/2019 16:00:00,1.4
5/21/2019 16:00:00,1.7
5/22/2019 16:00:00,1.59
5/23/2019 16:00:00,1.44
5/24/2019 16:00:00,1.6
5/28/2019 16:00:00,1.73
5/29/2019 16:00:00,1.73
5/30/2019 16:00:00,1.6
5/31/2019 16:00:00,1.45
6/3/2019 16:00:00,1.71
6/4/2019 16:00:00,1.73
6/5/2019 16:00:00,2.16
6/6/2019 16:00:00,2.08
6/7/2019 16:00:00,2.28
6/10/2019 16:00:00,2.85
6/11/2019 16:00:00,2.59
6/12/2019 16:00:00,2.43
6/13/2019 16:00:00,2.4
6/14/2019 16:00:00,2.53
6/17/2019 16:00:00,2.42
6/18/2019 16:00:00,2.35
6/19/2019 16:00:00,2.16
6/20/2019 16:00:00,2.32
6/21/2019 16:00:00,2.73
6/24/2019 16:00:00,2.64
6/25/2019 16:00:00,2.85
6/26/2019 16:00:00,2.92
6/27/2019 16:00:00,2.84
6/28/2019 16:00:00,2.94
7/1/2019 16:00:00,2.97
7/2/2019 16:00:00,2.75
7/3/2019 13:00:00,2.8
7/5/2019 16:00:00,2.8
7/8/2019 16:00:00,2.84
7/9/2019 16:00:00,3
7/10/2019 16:00:00,3.15
7/11/2019 16:00:00,3.32
7/12/2019 16:00:00,3.49
7/15/2019 16:00:00,3.89
7/16/2019 16:00:00,3.69
7/17/2019 16:00:00,3.67
7/18/2019 16:00:00,3.67
7/19/2019 16:00:00,3.45
7/22/2019 16:00:00,3.55
7/23/2019 16:00:00,3.55
7/24/2019 16:00:00,3.99
7/25/2019 16:00:00,3.95
7/26/2019 16:00:00,4.01
7/29/2019 16:00:00,4.21
7/30/2019 16:00:00,4.52
7/31/2019 16:00:00,5.19
8/1/2019 16:00:00,4.06
8/2/2019 16:00:00,4.01
8/5/2019 16:00:00,3.99
8/6/2019 16:00:00,3.17
8/7/2019 16:00:00,3.52
8/8/2019 16:00:00,3.47
8/9/2019 16:00:00,3.38
8/12/2019 16:00:00,3.19
8/13/2019 16:00:00,3.31
8/14/2019 16:00:00,3.37
8/15/2019 16:00:00,3.41
8/16/2019 16:00:00,3.63
8/19/2019 16:00:00,3.65
8/20/2019 16:00:00,3.64
8/21/2019 16:00:00,4.16
8/22/2019 16:00:00,4.13
8/23/2019 16:00:00,4.09
